date,totalconfirmed,totaldeceased,totalrecovered,dailyconfirmed,dailydeceased,dailyrecovered
30-Jan,1,0,0,1,0,0
31-Jan,1,0,0,0,0,0
1-Feb,1,0,0,0,0,0
2-Feb,2,0,0,1,0,0
3-Feb,3,0,0,1,0,0
4-Feb,3,0,0,0,0,0
5-Feb,3,0,0,0,0,0
6-Feb,3,0,0,0,0,0
7-Feb,3,0,0,0,0,0
8-Feb,3,0,0,0,0,0
9-Feb,3,0,0,0,0,0
10-Feb,3,0,0,0,0,0
11-Feb,3,0,0,0,0,0
12-Feb,3,0,0,0,0,0
13-Feb,3,0,1,0,0,1
14-Feb,3,0,1,0,0,0
15-Feb,3,0,1,0,0,0
16-Feb,3,0,2,0,0,1
17-Feb,3,0,2,0,0,0
18-Feb,3,0,2,0,0,0
19-Feb,3,0,2,0,0,0
20-Feb,3,0,3,0,0,1
21-Feb,3,0,3,0,0,0
22-Feb,3,0,3,0,0,0
23-Feb,3,0,3,0,0,0
24-Feb,3,0,3,0,0,0
25-Feb,3,0,3,0,0,0
26-Feb,3,0,3,0,0,0
27-Feb,3,0,3,0,0,0
28-Feb,3,0,3,0,0,0
29-Feb,3,0,3,0,0,0
1-Mar,3,0,3,0,0,0
2-Mar,5,0,3,2,0,0
3-Mar,6,0,3,1,0,0
4-Mar,28,0,3,22,0,0
5-Mar,30,0,3,2,0,0
6-Mar,31,0,3,1,0,0
7-Mar,34,0,3,3,0,0
8-Mar,39,0,3,5,0,0
9-Mar,48,0,3,9,0,0
10-Mar,63,0,4,15,0,1
11-Mar,71,0,4,8,0,0
12-Mar,81,1,4,10,1,0
13-Mar,91,1,10,10,0,6
14-Mar,102,2,10,11,1,0
15-Mar,112,2,13,10,0,3
16-Mar,126,2,14,14,0,1
17-Mar,146,3,15,20,1,1
18-Mar,171,3,15,25,0,0
19-Mar,198,4,20,27,1,5
20-Mar,256,4,23,58,0,3
21-Mar,334,4,23,78,0,0
22-Mar,403,7,23,69,3,0
23-Mar,497,9,25,94,2,2
24-Mar,571,10,40,74,1,15
25-Mar,657,11,43,86,1,3
26-Mar,730,16,50,73,5,7
27-Mar,883,19,75,153,3,25
28-Mar,1019,24,85,136,5,10
29-Mar,1139,27,102,120,3,17
30-Mar,1326,41,137,187,14,35
31-Mar,1635,47,150,309,6,13
1-Apr,2059,53,169,424,6,19
2-Apr,2545,69,191,486,16,22
3-Apr,3105,83,230,560,14,39
4-Apr,3684,96,286,579,13,56
5-Apr,4293,118,329,609,22,43
6-Apr,4777,134,394,484,16,65
7-Apr,5350,161,469,573,27,75
8-Apr,5915,181,565,565,20,96
9-Apr,6728,227,635,813,46,70
10-Apr,7599,249,786,871,22,151
11-Apr,8453,290,972,854,41,186
12-Apr,9211,332,1086,758,42,114
13-Apr,10454,359,1198,1243,27,112
14-Apr,11485,396,1365,1031,37,167
15-Apr,12371,423,1509,886,27,144
16-Apr,13432,449,1767,1061,26,258
17-Apr,14354,487,2040,922,38,273
18-Apr,15725,522,2466,1371,35,426
19-Apr,17305,560,2854,1580,38,388
20-Apr,18544,593,3273,1239,33,419
21-Apr,20081,646,3976,1537,53,703
22-Apr,21373,682,4370,1292,36,394
23-Apr,23040,722,5012,1667,40,642
24-Apr,24448,781,5496,1408,59,484
25-Apr,26283,825,5938,1835,44,442
26-Apr,27890,881,6523,1607,56,585
27-Apr,29458,939,7103,1568,58,580
28-Apr,31360,1008,7739,1902,69,636
29-Apr,33065,1079,8429,1705,71,690
30-Apr,34866,1154,9059,1801,75,630
1-May,37262,1231,10021,2396,77,962
2-May,39826,1323,10852,2564,92,831
3-May,42778,1463,11763,2952,140,911
4-May,46434,1566,12845,3656,103,1082
5-May,49405,1694,14140,2971,128,1295
6-May,53007,1785,15301,3602,91,1161
7-May,56351,1889,16776,3344,104,1475
8-May,59690,1986,17887,3339,97,1111
9-May,62865,2101,19301,3175,115,1414
10-May,67176,2213,20970,4311,112,1669
11-May,70768,2294,22549,3592,81,1579
12-May,74330,2414,24454,3562,120,1905
13-May,78056,2551,26417,3726,137,1963
14-May,82047,2648,28011,3991,97,1594
15-May,85855,2752,30245,3808,104,2234
16-May,90649,2872,34257,4794,120,4012
17-May,95698,3024,36795,5049,152,2538
18-May,100326,3155,39277,4628,131,2482
19-May,106480,3301,42309,6154,146,3032
20-May,112200,3435,45422,5720,134,3113
21-May,118223,3583,48553,6023,148,3131
22-May,124759,3725,51833,6536,142,3280
23-May,131424,3867,54409,6667,142,2576
24-May,138537,4023,57694,7111,156,3285
25-May,144951,4173,60706,6414,150,3012
26-May,150858,4346,64291,5907,173,3585
27-May,158104,4534,67725,7246,188,3434
28-May,165358,4710,70896,7254,176,3171
29-May,173496,4979,82631,8138,269,11735
30-May,181860,5184,86934,8364,205,4303
31-May,190649,5406,91862,8789,222,4928
1-Jun,198372,5607,95744,7723,201,3882
2-Jun,207187,5829,100275,8815,222,4531
3-Jun,216876,6088,104064,9689,259,3789
4-Jun,226723,6362,108454,9847,274,4390
5-Jun,236195,6648,113224,9472,286,4770
6-Jun,246603,6945,118657,10408,297,5433
7-Jun,257485,7206,123848,10882,261,5191
8-Jun,266021,7477,129019,8536,271,5171
9-Jun,276002,7749,134653,9981,272,5634
10-Jun,287158,8107,140928,11156,358,6275
11-Jun,298293,8501,146972,11135,394,6044
12-Jun,309599,8889,154235,11306,388,7263
13-Jun,321638,9198,162327,12039,309,8092
14-Jun,333043,9522,169685,11405,324,7358
15-Jun,343075,9918,180324,10032,396,10639
16-Jun,354161,11922,187550,11086,2004,7226
17-Jun,367268,12263,194439,13107,341,6889
18-Jun,381098,12606,205181,13829,343,10741
19-Jun,395838,12970,214210,14740,364,9029
20-Jun,411753,13278,228184,15918,308,13974
21-Jun,426893,13704,237253,15140,426,9069
22-Jun,440451,14016,248138,13548,312,10879
23-Jun,456120,14484,258600,15656,468,10462
24-Jun,472988,14908,271689,16868,424,13089
25-Jun,491193,15309,285672,18205,401,13983
26-Jun,509448,15690,295918,18255,381,10246
27-Jun,529590,16104,310147,20142,414,14229
28-Jun,549200,16488,321778,19610,384,11631
29-Jun,567539,16905,335275,18339,417,13497
30-Jun,585795,17411,347840,18256,506,12565
1-Jul,605224,17849,359904,19429,438,12064
2-Jul,627171,18227,379903,21947,378,19999
3-Jul,649889,18671,394320,22718,444,14417
4-Jul,673907,19282,409066,24018,611,14746
5-Jul,697849,19703,424895,23942,421,15829
6-Jul,720349,20176,440210,22500,473,15315
7-Jul,743496,20655,457046,23147,479,16836
8-Jul,769057,21147,476554,25561,492,19508
9-Jul,794847,21626,495962,25790,479,19408
10-Jul,822609,22146,516251,27762,520,20289
11-Jul,850366,22689,536232,27757,543,19981
12-Jul,879472,23189,554430,29106,500,18198
13-Jul,907650,23730,572113,28178,541,17683
14-Jul,937567,24317,593090,29917,587,20977
15-Jul,970174,24931,613736,32607,614,20646
16-Jul,1005642,25611,636603,35468,680,22867
17-Jul,1040462,26287,654079,34820,676,17476
18-Jul,1077873,26830,677662,37411,543,23583
19-Jul,1118108,27505,700392,40235,675,22730
20-Jul,1154914,28101,724695,36806,596,24303
21-Jul,1194084,28772,752284,39170,671,27589
22-Jul,1239685,29902,784159,45601,1130,31875
23-Jul,1288128,30657,817485,48443,755,33326
24-Jul,1337016,31420,849999,48888,763,32514
25-Jul,1387088,32123,887124,50072,703,37125
